team,league,pts,mp,ctx_projected,ctx_p5,ctx_p95,ctx_std,ctx_rank
Arsenal,ENG-Premier League,57,26,81.2522,74.0,88.0,4.180095113750404,1
Man City,ENG-Premier League,53,26,73.5732,66.0,81.0,4.460520346327321,2
Aston Villa,ENG-Premier League,50,26,69.8229,63.0,77.0,4.455349098555578,3
Chelsea,ENG-Premier League,44,26,63.3979,56.0,71.0,4.374834350006866,4
Liverpool,ENG-Premier League,42,26,63.3151,56.0,71.0,4.405793003535233,5
Man United,ENG-Premier League,45,26,62.2684,55.0,70.0,4.421646914894947,6
Brentford,ENG-Premier League,40,26,58.0986,51.0,65.0,4.452670888354539,7
Bournemouth,ENG-Premier League,37,26,54.7815,48.0,62.0,4.359284086865641,8
Newcastle,ENG-Premier League,36,26,54.3087,47.0,62.0,4.430530928681121,9
Everton,ENG-Premier League,37,26,52.6114,46.0,60.0,4.370147599338036,10
Fulham,ENG-Premier League,34,26,50.4428,43.0,58.0,4.389046383897076,11
Sunderland,ENG-Premier League,36,26,47.7418,41.0,55.0,4.208982390079578,12
Brighton,ENG-Premier League,31,26,46.5401,40.0,54.0,4.305878770936311,13
Crystal Palace,ENG-Premier League,32,26,46.0046,39.0,53.0,4.310287558852656,14
Leeds,ENG-Premier League,30,26,45.2661,38.0,53.0,4.282626622763185,15
Tottenham,ENG-Premier League,29,26,44.2723,37.0,52.0,4.3476376010426625,16
Nott'm Forest,ENG-Premier League,27,26,41.0729,34.0,49.0,4.419658990238953,17
West Ham,ENG-Premier League,24,26,36.2865,30.0,43.0,4.1637024089144505,18
Burnley,ENG-Premier League,18,26,29.3595,23.0,36.0,4.07068295866922,19
Wolves,ENG-Premier League,9,26,20.6463,14.0,28.0,4.115433915154027,20
Barcelona,ESP-La Liga,58,23,90.2831,83.0,97.0,4.544596174579211,1
Real Madrid,ESP-La Liga,57,23,87.7847,80.0,95.0,4.522051073351561,2
Ath Madrid,ESP-La Liga,45,23,72.3955,64.0,80.0,4.806358262759862,3
Villarreal,ESP-La Liga,45,22,70.4405,62.0,79.0,5.111913511592308,4
Betis,ESP-La Liga,38,23,62.6338,55.0,70.0,4.721111898695052,5
Celta,ESP-La Liga,33,23,54.1299,46.0,62.0,4.795479745552055,6
Sociedad,ESP-La Liga,31,23,52.0177,44.0,60.0,4.793431621500405,7
Espanol,ESP-La Liga,34,23,51.6434,44.0,59.0,4.637762007692935,8
Ath Bilbao,ESP-La Liga,28,23,49.4839,42.0,58.0,4.858718019189835,9
Osasuna,ESP-La Liga,29,23,48.1419,40.0,56.0,4.751648597066075,10
Alaves,ESP-La Liga,25,23,43.3766,36.0,51.0,4.866700364723515,11
Mallorca,ESP-La Liga,24,23,43.2955,35.0,51.0,4.7901335837322945,12
Getafe,ESP-La Liga,26,23,43.0404,36.0,51.0,4.648480164526896,13
Girona,ESP-La Liga,26,23,42.8063,35.0,51.0,4.75356501059994,14
Vallecano,ESP-La Liga,22,22,41.816,34.0,50.0,4.896176467408012,15
Valencia,ESP-La Liga,23,23,41.31,33.0,49.0,4.810561297811306,16
Sevilla,ESP-La Liga,25,23,40.8015,33.0,49.0,4.597053159361984,17
Elche,ESP-La Liga,24,23,39.4287,32.0,47.0,4.519437609924491,18
Levante,ESP-La Liga,18,22,35.5498,28.0,43.0,4.666789041728799,19
Oviedo,ESP-La Liga,16,22,32.473,25.0,41.0,4.766872244984126,20
Paris SG,FRA-Ligue 1,51,21,81.4551,75.0,88.0,3.888288053886954,1
Lens,FRA-Ligue 1,49,21,71.4195,64.0,79.0,4.447102399315762,2
Lyon,FRA-Ligue 1,42,21,64.2331,57.0,71.0,4.400177767999834,3
Marseille,FRA-Ligue 1,39,21,60.717,53.0,68.0,4.534899227105273,4
Lille,FRA-Ligue 1,33,21,54.008,47.0,61.0,4.4566956369040955,5
Strasbourg,FRA-Ligue 1,30,21,49.3032,42.0,57.0,4.551842457730716,6
Rennes,FRA-Ligue 1,31,21,48.6434,42.0,56.0,4.369237512427083,7
Toulouse,FRA-Ligue 1,30,21,46.8904,40.0,54.0,4.472045151829306,8
Monaco,FRA-Ligue 1,28,21,46.2794,39.0,54.0,4.426210076352002,9
Lorient,FRA-Ligue 1,28,21,43.8341,37.0,51.0,4.314299153976228,10
Brest,FRA-Ligue 1,26,21,43.7457,36.0,51.0,4.511765897074005,11
Angers,FRA-Ligue 1,29,21,43.4249,36.0,51.0,4.36164647696257,12
Nice,FRA-Ligue 1,23,21,37.3946,31.0,45.0,4.254772713083509,13
Le Havre,FRA-Ligue 1,23,21,36.9096,30.0,44.0,4.298375023191904,14
Paris FC,FRA-Ligue 1,22,21,35.2766,29.0,43.0,4.294588739332324,15
Auxerre,FRA-Ligue 1,14,21,29.2508,22.0,37.0,4.436248342913188,16
Metz,FRA-Ligue 1,13,21,26.6608,20.0,34.0,4.232722925021197,17
Nantes,FRA-Ligue 1,14,21,25.5861,19.0,33.0,4.101997902242272,18
Bayern Munich,GER-Bundesliga,54,21,83.0603,76.0,89.0,4.0088731471574395,1
Dortmund,GER-Bundesliga,48,21,72.3045,65.0,80.0,4.474413900166144,2
Hoffenheim,GER-Bundesliga,42,21,62.89,56.0,70.0,4.476550010890083,3
RB Leipzig,GER-Bundesliga,39,21,60.9013,54.0,68.0,4.461519730988534,4
Leverkusen,GER-Bundesliga,36,20,60.0569,52.0,68.0,4.661444238645358,5
Stuttgart,GER-Bundesliga,39,21,59.3894,52.0,67.0,4.495616491650505,6
Freiburg,GER-Bundesliga,30,21,47.3673,40.0,55.0,4.429784499273074,7
Ein Frankfurt,GER-Bundesliga,28,21,45.4312,38.0,53.0,4.336411714770636,8
Union Berlin,GER-Bundesliga,25,21,40.3642,33.0,48.0,4.312743716011885,9
Mainz,GER-Bundesliga,21,21,39.5056,32.0,47.0,4.387638161927211,10
Augsburg,GER-Bundesliga,22,21,37.3128,30.0,45.0,4.399290415510211,11
M'gladbach,GER-Bundesliga,22,21,36.4628,30.0,44.0,4.2365099032104245,12
Hamburg,GER-Bundesliga,22,20,36.2842,29.0,44.0,4.422355747788727,13
FC Koln,GER-Bundesliga,23,21,36.1646,29.0,44.0,4.310789584287315,14
Wolfsburg,GER-Bundesliga,19,21,34.4288,27.0,42.0,4.419562258866821,15
Werder Bremen,GER-Bundesliga,19,21,34.3868,27.0,42.0,4.378445587191874,16
St Pauli,GER-Bundesliga,17,21,30.181,24.0,37.0,4.198147091277294,17
Heidenheim,GER-Bundesliga,13,21,25.4594,19.0,33.0,4.230478890149436,18
Inter,ITA-Serie A,58,24,88.0871,81.0,95.0,4.408754199317535,1
Milan,ITA-Serie A,50,23,78.3892,70.0,86.0,4.8037821932306635,2
Napoli,ITA-Serie A,49,24,74.7602,67.0,82.0,4.59674841164926,3
Juventus,ITA-Serie A,46,24,70.8359,63.0,78.0,4.485551380822652,4
Roma,ITA-Serie A,46,24,70.3721,63.0,78.0,4.584783701550162,5
Como,ITA-Serie A,41,23,66.1593,58.0,74.0,4.783839829049463,6
Atalanta,ITA-Serie A,39,24,63.1138,55.0,71.0,4.596873889938683,7
Lazio,ITA-Serie A,33,24,52.4058,45.0,60.0,4.660721656567789,8
Bologna,ITA-Serie A,30,24,48.9913,41.0,57.0,4.637200050677132,9
Udinese,ITA-Serie A,32,24,47.7802,41.0,55.0,4.483111415077703,10
Sassuolo,ITA-Serie A,29,24,45.199,38.0,53.0,4.495731197480561,11
Cagliari,ITA-Serie A,28,24,44.8456,38.0,52.0,4.533162322264668,12
Torino,ITA-Serie A,27,24,44.462,37.0,52.0,4.632661869810919,13
Parma,ITA-Serie A,26,24,41.8286,35.0,49.0,4.4046818318693575,14
Genoa,ITA-Serie A,23,24,38.125,31.0,46.0,4.4097817406307085,15
Cremonese,ITA-Serie A,23,24,37.1553,30.0,45.0,4.463471956896335,16
Fiorentina,ITA-Serie A,18,24,35.5463,28.0,43.0,4.530944306653967,17
Lecce,ITA-Serie A,21,24,34.9622,28.0,42.0,4.339512779103202,18
Pisa,ITA-Serie A,15,24,27.7254,21.0,35.0,4.343362158512688,19
Verona,ITA-Serie A,15,24,26.5098,20.0,34.0,4.157896578800392,20
