team,league,pts,mp,ensemble_projected,p5,p95,std,rank_super,projected_pts,elo_p5,elo_p95,rf_projected,diff_vs_elo,diff_vs_rf,rank_elo
Arsenal,ENG-Premier League,57,26,81.2522,74.0,88.0,4.180095113750404,1,81.6,75.0,88.0,78.9,-0.34779999999999234,2.3521999999999963,1
Man City,ENG-Premier League,53,26,73.5732,66.0,81.0,4.460520346327321,2,74.4,67.0,82.0,73.5,-0.8268000000000058,0.07319999999999993,2
Aston Villa,ENG-Premier League,50,26,69.8229,63.0,77.0,4.455349098555578,3,70.9,64.0,78.0,68.7,-1.0771000000000015,1.1229000000000013,3
Chelsea,ENG-Premier League,44,26,63.3979,56.0,71.0,4.374834350006866,4,62.7,56.0,70.0,63.0,0.6978999999999971,0.3978999999999999,6
Liverpool,ENG-Premier League,42,26,63.3151,56.0,71.0,4.405793003535233,5,63.2,56.0,70.0,63.5,0.1150999999999982,-0.18489999999999895,4
Man United,ENG-Premier League,45,26,62.2684,55.0,70.0,4.421646914894947,6,62.8,55.0,70.0,61.2,-0.5315999999999974,1.068399999999997,5
Brentford,ENG-Premier League,40,26,58.0986,51.0,65.0,4.452670888354539,7,58.1,51.0,65.0,57.9,-0.0014000000000038426,0.198599999999999,7
Bournemouth,ENG-Premier League,37,26,54.7815,48.0,62.0,4.359284086865641,8,54.2,47.0,61.0,53.9,0.5814999999999984,0.8815000000000026,8
Newcastle,ENG-Premier League,36,26,54.3087,47.0,62.0,4.430530928681121,9,53.6,47.0,61.0,54.1,0.7087000000000003,0.20870000000000033,9
Everton,ENG-Premier League,37,26,52.6114,46.0,60.0,4.370147599338036,10,52.4,45.0,60.0,52.2,0.2114000000000047,0.41140000000000043,10
Fulham,ENG-Premier League,34,26,50.4428,43.0,58.0,4.389046383897076,11,49.9,43.0,57.0,48.8,0.5427999999999997,1.6428000000000011,11
Sunderland,ENG-Premier League,36,26,47.7418,41.0,55.0,4.208982390079578,12,48.0,41.0,55.0,46.4,-0.2582000000000022,1.3417999999999992,12
Brighton,ENG-Premier League,31,26,46.5401,40.0,54.0,4.305878770936311,13,47.3,40.0,55.0,47.1,-0.7598999999999947,-0.559899999999999,13
Crystal Palace,ENG-Premier League,32,26,46.0046,39.0,53.0,4.310287558852656,14,46.6,40.0,54.0,46.8,-0.5953999999999979,-0.7953999999999937,14
Leeds,ENG-Premier League,30,26,45.2661,38.0,53.0,4.282626622763185,15,45.6,39.0,53.0,44.4,-0.33389999999999986,0.866100000000003,15
Tottenham,ENG-Premier League,29,26,44.2723,37.0,52.0,4.347637601042663,16,44.8,38.0,52.0,43.5,-0.5276999999999958,0.7723000000000013,16
Nott'm Forest,ENG-Premier League,27,26,41.0729,34.0,49.0,4.419658990238953,17,41.0,34.0,48.0,42.0,0.07289999999999708,-0.9271000000000029,17
West Ham,ENG-Premier League,24,26,36.2865,30.0,43.0,4.1637024089144505,18,36.5,30.0,44.0,36.5,-0.21350000000000335,-0.21350000000000335,18
Burnley,ENG-Premier League,18,26,29.3595,23.0,36.0,4.07068295866922,19,29.2,23.0,36.0,29.2,0.1595000000000013,0.1595000000000013,19
Wolves,ENG-Premier League,9,26,20.6463,14.0,28.0,4.115433915154027,20,20.1,14.0,27.0,20.4,0.5462999999999987,0.24630000000000152,20
Barcelona,ESP-La Liga,58,23,90.2831,83.0,97.0,4.544596174579211,1,88.6,81.0,96.0,88.4,1.6831000000000103,1.8830999999999989,1
Real Madrid,ESP-La Liga,57,23,87.7847,80.0,95.0,4.522051073351561,2,86.9,79.0,94.0,85.0,0.8846999999999952,2.784700000000001,2
Ath Madrid,ESP-La Liga,45,23,72.3955,64.0,80.0,4.806358262759862,3,72.0,64.0,80.0,69.3,0.3954999999999984,3.0955000000000013,3
Villarreal,ESP-La Liga,45,22,70.4405,62.0,79.0,5.111913511592308,4,70.7,62.0,79.0,70.2,-0.25950000000000273,0.24049999999999727,4
Betis,ESP-La Liga,38,23,62.6338,55.0,70.0,4.721111898695052,5,62.2,54.0,70.0,61.4,0.43379999999999797,1.2338000000000022,5
Celta,ESP-La Liga,33,23,54.1299,46.0,62.0,4.795479745552055,6,53.7,46.0,62.0,54.1,0.4298999999999964,0.029899999999997817,6
Sociedad,ESP-La Liga,31,23,52.0177,44.0,60.0,4.793431621500405,7,51.9,44.0,60.0,52.6,0.11769999999999925,-0.5823000000000036,8
Espanol,ESP-La Liga,34,23,51.6434,44.0,59.0,4.637762007692935,8,52.1,44.0,60.0,51.2,-0.45660000000000167,0.4433999999999969,7
Ath Bilbao,ESP-La Liga,28,23,49.4839,42.0,58.0,4.858718019189835,9,48.6,41.0,57.0,50.5,0.883899999999997,-1.0161000000000016,10
Osasuna,ESP-La Liga,29,23,48.1419,40.0,56.0,4.751648597066075,10,49.0,41.0,57.0,47.5,-0.8581000000000003,0.6418999999999997,9
Alaves,ESP-La Liga,25,23,43.3766,36.0,51.0,4.866700364723515,11,42.5,35.0,50.0,43.8,0.8766000000000034,-0.4233999999999938,14
Mallorca,ESP-La Liga,24,23,43.2955,35.0,51.0,4.790133583732295,12,43.4,36.0,51.0,42.1,-0.10450000000000159,1.1954999999999956,11
Getafe,ESP-La Liga,26,23,43.0404,36.0,51.0,4.648480164526896,13,43.4,36.0,51.0,43.4,-0.35960000000000036,-0.35960000000000036,12
Girona,ESP-La Liga,26,23,42.8063,35.0,51.0,4.75356501059994,14,43.0,35.0,51.0,44.6,-0.19369999999999976,-1.7937000000000012,13
Vallecano,ESP-La Liga,22,22,41.816,34.0,50.0,4.896176467408012,15,41.9,34.0,50.0,40.2,-0.08399999999999608,1.6159999999999997,15
Valencia,ESP-La Liga,23,23,41.31,33.0,49.0,4.810561297811306,16,41.9,34.0,50.0,41.5,-0.5899999999999963,-0.18999999999999773,16
Sevilla,ESP-La Liga,25,23,40.8015,33.0,49.0,4.597053159361984,17,41.5,34.0,49.0,40.5,-0.6985000000000028,0.3014999999999972,17
Elche,ESP-La Liga,24,23,39.4287,32.0,47.0,4.519437609924491,18,40.6,33.0,49.0,39.4,-1.1713000000000022,0.028700000000000614,18
Levante,ESP-La Liga,18,22,35.5498,28.0,43.0,4.666789041728799,19,37.0,29.0,45.0,34.8,-1.4502000000000024,0.7498000000000005,19
Oviedo,ESP-La Liga,16,22,32.473,25.0,41.0,4.766872244984126,20,32.4,25.0,40.0,32.5,0.0730000000000004,-0.027000000000001023,20
Paris SG,FRA-Ligue 1,51,21,81.4551,75.0,88.0,3.888288053886954,1,79.5,73.0,86.0,78.0,1.9551000000000016,3.4551000000000016,1
Lens,FRA-Ligue 1,49,21,71.4195,64.0,79.0,4.447102399315762,2,70.6,63.0,78.0,71.1,0.819500000000005,0.319500000000005,2
Lyon,FRA-Ligue 1,42,21,64.2331,57.0,71.0,4.400177767999834,3,63.8,56.0,71.0,62.3,0.43309999999999604,1.933099999999996,3
Marseille,FRA-Ligue 1,39,21,60.717,53.0,68.0,4.534899227105273,4,61.6,54.0,69.0,58.3,-0.8830000000000027,2.4170000000000016,4
Lille,FRA-Ligue 1,33,21,54.008,47.0,61.0,4.456695636904096,5,54.1,46.0,62.0,52.7,-0.09199999999999875,1.3079999999999998,5
Strasbourg,FRA-Ligue 1,30,21,49.3032,42.0,57.0,4.551842457730716,6,50.2,42.0,58.0,48.0,-0.896800000000006,1.3031999999999968,6
Rennes,FRA-Ligue 1,31,21,48.6434,42.0,56.0,4.369237512427083,7,49.4,42.0,57.0,47.9,-0.7565999999999988,0.7434000000000012,7
Toulouse,FRA-Ligue 1,30,21,46.8904,40.0,54.0,4.472045151829306,8,47.3,40.0,55.0,46.6,-0.4095999999999975,0.2903999999999982,8
Monaco,FRA-Ligue 1,28,21,46.2794,39.0,54.0,4.426210076352002,9,46.5,39.0,54.0,46.7,-0.22059999999999746,-0.4206000000000003,9
Lorient,FRA-Ligue 1,28,21,43.8341,37.0,51.0,4.314299153976228,10,44.4,37.0,52.0,43.4,-0.5658999999999992,0.4341000000000008,10
Brest,FRA-Ligue 1,26,21,43.7457,36.0,51.0,4.511765897074005,11,43.6,36.0,51.0,43.5,0.14569999999999794,0.24569999999999936,11
Angers,FRA-Ligue 1,29,21,43.4249,36.0,51.0,4.36164647696257,12,43.0,36.0,50.0,43.9,0.42490000000000094,-0.47509999999999764,12
Nice,FRA-Ligue 1,23,21,37.3946,31.0,45.0,4.254772713083509,13,38.0,31.0,46.0,37.4,-0.605400000000003,-0.005400000000001626,13
Le Havre,FRA-Ligue 1,23,21,36.9096,30.0,44.0,4.298375023191904,14,37.8,31.0,46.0,38.3,-0.8903999999999996,-1.3903999999999996,14
Paris FC,FRA-Ligue 1,22,21,35.2766,29.0,43.0,4.294588739332324,15,35.0,28.0,42.0,35.5,0.27660000000000196,-0.22339999999999804,15
Auxerre,FRA-Ligue 1,14,21,29.2508,22.0,37.0,4.436248342913188,16,28.9,22.0,36.0,29.5,0.3508000000000031,-0.2491999999999983,16
Metz,FRA-Ligue 1,13,21,26.6608,20.0,34.0,4.232722925021197,17,26.6,20.0,34.0,26.1,0.06079999999999686,0.5607999999999969,17
Nantes,FRA-Ligue 1,14,21,25.5861,19.0,33.0,4.101997902242272,18,26.4,20.0,34.0,26.6,-0.8139000000000003,-1.0139000000000031,18
Bayern Munich,GER-Bundesliga,54,21,83.0603,76.0,89.0,4.00887314715744,1,81.7,75.0,88.0,79.4,1.3602999999999952,3.6602999999999923,1
Dortmund,GER-Bundesliga,48,21,72.3045,65.0,80.0,4.474413900166144,2,71.4,64.0,79.0,70.8,0.9044999999999987,1.5045000000000073,2
Hoffenheim,GER-Bundesliga,42,21,62.89,56.0,70.0,4.476550010890083,3,63.1,55.0,71.0,61.1,-0.21000000000000085,1.7899999999999991,3
RB Leipzig,GER-Bundesliga,39,21,60.9013,54.0,68.0,4.461519730988534,4,59.9,52.0,67.0,60.3,1.0013000000000005,0.6013000000000019,5
Leverkusen,GER-Bundesliga,36,20,60.0569,52.0,68.0,4.661444238645358,5,60.8,53.0,68.0,58.7,-0.7430999999999983,1.356899999999996,4
Stuttgart,GER-Bundesliga,39,21,59.3894,52.0,67.0,4.495616491650505,6,59.4,52.0,67.0,57.8,-0.010599999999996612,1.5894000000000048,6
Freiburg,GER-Bundesliga,30,21,47.3673,40.0,55.0,4.429784499273074,7,48.4,41.0,56.0,46.7,-1.0326999999999984,0.6672999999999973,7
Ein Frankfurt,GER-Bundesliga,28,21,45.4312,38.0,53.0,4.336411714770636,8,46.3,39.0,54.0,44.8,-0.8688000000000002,0.6311999999999998,8
Union Berlin,GER-Bundesliga,25,21,40.3642,33.0,48.0,4.312743716011885,9,41.5,34.0,49.0,41.2,-1.1358000000000033,-0.8358000000000061,9
Mainz,GER-Bundesliga,21,21,39.5056,32.0,47.0,4.387638161927211,10,37.8,31.0,45.0,39.3,1.705600000000004,0.205600000000004,11
Augsburg,GER-Bundesliga,22,21,37.3128,30.0,45.0,4.399290415510211,11,37.4,30.0,45.0,36.7,-0.08719999999999573,0.6128,12
M'gladbach,GER-Bundesliga,22,21,36.4628,30.0,44.0,4.2365099032104245,12,37.9,31.0,45.0,37.5,-1.4371999999999971,-1.0371999999999986,10
Hamburg,GER-Bundesliga,22,20,36.2842,29.0,44.0,4.422355747788727,13,36.7,30.0,44.0,37.5,-0.4158000000000044,-1.2158000000000015,14
FC Koln,GER-Bundesliga,23,21,36.1646,29.0,44.0,4.310789584287315,14,36.9,30.0,44.0,35.9,-0.7353999999999985,0.2646000000000015,13
Wolfsburg,GER-Bundesliga,19,21,34.4288,27.0,42.0,4.419562258866821,15,33.7,27.0,41.0,34.1,0.7287999999999997,0.3288000000000011,16
Werder Bremen,GER-Bundesliga,19,21,34.3868,27.0,42.0,4.378445587191874,16,35.1,28.0,42.0,35.2,-0.7132000000000005,-0.8132000000000019,15
St Pauli,GER-Bundesliga,17,21,30.181,24.0,37.0,4.198147091277294,17,30.6,24.0,38.0,31.5,-0.4190000000000005,-1.318999999999999,17
Heidenheim,GER-Bundesliga,13,21,25.4594,19.0,33.0,4.230478890149436,18,24.8,18.0,32.0,25.4,0.659399999999998,0.05940000000000012,18
Inter,ITA-Serie A,58,24,88.0871,81.0,95.0,4.408754199317535,1,85.8,78.0,93.0,86.3,2.2871000000000095,1.7871000000000095,1
Milan,ITA-Serie A,50,23,78.3892,70.0,86.0,4.803782193230664,2,77.3,69.0,85.0,78.1,1.0892000000000053,0.2892000000000081,2
Napoli,ITA-Serie A,49,24,74.7602,67.0,82.0,4.59674841164926,3,74.2,66.0,82.0,73.3,0.5601999999999947,1.4602000000000004,3
Juventus,ITA-Serie A,46,24,70.8359,63.0,78.0,4.485551380822652,4,70.2,63.0,78.0,69.5,0.6358999999999924,1.3358999999999952,4
Roma,ITA-Serie A,46,24,70.3721,63.0,78.0,4.584783701550162,5,69.7,62.0,77.0,69.2,0.6721000000000004,1.1721000000000004,5
Como,ITA-Serie A,41,23,66.1593,58.0,74.0,4.783839829049463,6,64.0,56.0,72.0,65.0,2.1593000000000018,1.1593000000000018,6
Atalanta,ITA-Serie A,39,24,63.1138,55.0,71.0,4.596873889938683,7,61.1,54.0,69.0,61.8,2.0137999999999963,1.3138000000000005,7
Lazio,ITA-Serie A,33,24,52.4058,45.0,60.0,4.660721656567789,8,53.4,46.0,61.0,51.0,-0.9941999999999993,1.4057999999999993,8
Bologna,ITA-Serie A,30,24,48.9913,41.0,57.0,4.637200050677132,9,49.6,42.0,57.0,49.4,-0.6086999999999989,-0.40869999999999607,9
Udinese,ITA-Serie A,32,24,47.7802,41.0,55.0,4.483111415077703,10,48.5,41.0,56.0,47.3,-0.7197999999999993,0.4802000000000035,10
Sassuolo,ITA-Serie A,29,24,45.199,38.0,53.0,4.495731197480561,11,45.9,38.0,54.0,44.7,-0.7010000000000005,0.4989999999999952,11
Cagliari,ITA-Serie A,28,24,44.8456,38.0,52.0,4.533162322264668,12,45.2,38.0,53.0,43.5,-0.3544000000000054,1.3455999999999975,12
Torino,ITA-Serie A,27,24,44.462,37.0,52.0,4.632661869810919,13,44.4,37.0,52.0,43.9,0.06200000000000472,0.5620000000000047,13
Parma,ITA-Serie A,26,24,41.8286,35.0,49.0,4.4046818318693575,14,42.2,35.0,50.0,41.5,-0.3714000000000013,0.32860000000000156,14
Genoa,ITA-Serie A,23,24,38.125,31.0,46.0,4.4097817406307085,15,39.6,32.0,47.0,38.3,-1.4750000000000014,-0.17499999999999716,15
Cremonese,ITA-Serie A,23,24,37.1553,30.0,45.0,4.463471956896335,16,38.4,31.0,46.0,36.3,-1.2447000000000017,0.8552999999999997,16
Fiorentina,ITA-Serie A,18,24,35.5463,28.0,43.0,4.530944306653967,17,36.2,29.0,44.0,36.2,-0.6537000000000006,-0.6537000000000006,17
Lecce,ITA-Serie A,21,24,34.9622,28.0,42.0,4.339512779103202,18,34.6,28.0,42.0,36.3,0.3622000000000014,-1.3377999999999943,18
Pisa,ITA-Serie A,15,24,27.7254,21.0,35.0,4.343362158512688,19,27.8,21.0,35.0,29.0,-0.07460000000000022,-1.2745999999999995,19
Verona,ITA-Serie A,15,24,26.5098,20.0,34.0,4.157896578800392,20,27.4,21.0,35.0,26.9,-0.8902000000000001,-0.3902000000000001,20
